Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Gender,Placement_Offer_Count
77,86,75,84,2000,male,2
65,89,62,94,2001,female,3
64,78,72,77,2002,male,2
78,76,73,94,2003,female,3
73,77,73,81,2004,male,2
62,93,78,79,2005,female,2
80,78,68,88,2006,NaN,3
69,91,75,85,2007,female,3
76,88,60,97,2008,male,3
65,78,71,98,2009,female,3
77,82,68,93,NaN,male,3
73,86,62,95,2011,female,3
76,78,79,95,2012,male,3
76,92,67,98,2013,NaN,3
74,82,79,75,2014,male,2
64,90,77,79,2015,female,2
77,85,76,84,2016,male,2
61,82,68,85,2017,female,3
61,84,60,94,2018,male,3
62,84,63,84,2019,female,2
65,87,68,99,NaN,male,3
78,83,78,94,2021,female,3
73,79,80,83,2022,NaN,2
72,84,68,78,2023,female,2
77,85,67,79,2024,male,2
65,91,74,78,2025,female,2
70,81,79,100,2026,male,3
77,80,62,99,2027,female,3
